40	1	1	1	0.5	2	10	0.5	200	200
0	1	16	36	25	36	24	35	16	5	10	17	34	3	23	1	34	7	15	1	30	11	12	25	25	7	1	9	37	4	11	22	28	30	15	1	4	6	25	36	
1	0	27	27	35	25	2	0	10	10	25	24	18	28	28	8	19	12	31	10	22	4	10	18	21	25	37	33	11	6	14	28	19	26	27	35	8	7	7	26	
16	27	0	1	39	20	22	16	35	29	37	33	28	15	35	38	27	3	33	21	8	25	39	35	5	27	28	18	37	1	39	20	6	23	35	38	28	5	30	3	
36	27	1	0	16	36	11	16	31	4	31	4	22	5	18	34	30	19	16	28	16	27	19	16	39	28	18	29	10	7	5	6	39	16	9	3	38	5	1	33	
25	35	39	16	0	10	16	27	22	8	11	38	6	4	29	10	35	19	15	7	30	4	0	28	22	16	22	3	32	2	10	25	28	21	9	22	13	3	30	38	
36	25	20	36	10	0	23	25	21	34	7	3	10	6	13	21	4	11	20	4	27	20	15	12	36	1	9	16	31	39	38	1	38	11	31	5	16	5	9	33	
24	2	22	11	16	23	0	1	7	33	36	26	30	30	33	28	1	15	39	34	19	16	37	4	21	36	7	12	38	27	30	36	9	27	23	24	16	13	17	6	
35	0	16	16	27	25	1	0	36	5	32	8	13	23	14	17	4	29	10	6	29	25	3	31	36	20	32	12	28	20	40	29	23	9	19	25	5	23	0	20	
16	10	35	31	22	21	7	36	0	21	16	21	35	4	7	11	2	3	24	26	27	13	34	36	9	29	35	21	22	3	37	19	3	7	16	14	27	18	18	34	
5	10	29	4	8	34	33	5	21	0	37	24	4	37	20	3	27	21	32	37	34	24	2	33	33	14	25	17	7	34	4	17	12	39	24	2	33	26	2	31	
10	25	37	31	11	7	36	32	16	37	0	14	15	24	11	1	14	25	11	5	13	22	25	40	29	19	34	4	36	35	29	30	8	13	38	35	30	1	39	2	
17	24	33	4	38	3	26	8	21	24	14	0	11	2	11	24	26	38	32	7	13	26	18	22	28	26	26	18	14	28	22	9	36	30	11	15	12	36	12	35	
34	18	28	22	6	10	30	13	35	4	15	11	0	8	8	39	12	8	7	18	18	37	34	4	38	1	33	23	34	40	6	19	17	7	4	7	28	8	36	5	
3	28	15	5	4	6	30	23	4	37	24	2	8	0	3	33	35	7	19	11	3	35	31	36	39	28	6	10	19	8	4	30	12	15	38	17	28	6	0	26	
23	28	35	18	29	13	33	14	7	20	11	11	8	3	0	29	24	40	24	35	11	11	38	31	27	34	4	31	34	18	39	8	32	36	36	20	38	30	23	6	
1	8	38	34	10	21	28	17	11	3	1	24	39	33	29	0	32	32	24	25	32	7	23	10	35	26	20	6	7	32	29	20	40	9	17	24	35	12	22	31	
34	19	27	30	35	4	1	4	2	27	14	26	12	35	24	32	0	16	2	39	39	13	16	31	16	25	16	4	39	7	32	25	6	28	8	12	7	12	37	31	
7	12	3	19	19	11	15	29	3	21	25	38	8	7	40	32	16	0	18	37	34	10	3	14	8	39	36	27	36	35	18	5	4	16	2	1	32	38	22	9	
15	31	33	16	15	20	39	10	24	32	11	32	7	19	24	24	2	18	0	31	36	22	2	13	3	14	25	15	30	19	12	4	11	0	25	39	8	38	31	38	
1	10	21	28	7	4	34	6	26	37	5	7	18	11	35	25	39	37	31	0	35	1	17	12	32	4	37	8	6	35	21	38	16	17	25	32	38	7	9	16	
30	22	8	16	30	27	19	29	27	34	13	13	18	3	11	32	39	34	36	35	0	34	0	25	20	17	18	16	20	19	26	11	31	27	13	8	0	8	26	30	
11	4	25	27	4	20	16	25	13	24	22	26	37	35	11	7	13	10	22	1	34	0	36	9	12	35	8	25	18	15	21	30	7	32	29	15	1	23	26	19	
12	10	39	19	0	15	37	3	34	2	25	18	34	31	38	23	16	3	2	17	0	36	0	31	19	27	26	1	37	6	33	20	29	29	7	34	33	16	32	40	
25	18	35	16	28	12	4	31	36	33	40	22	4	36	31	10	31	14	13	12	25	9	31	0	34	17	3	10	4	25	20	38	5	27	12	4	20	18	20	30	
25	21	5	39	22	36	21	36	9	33	29	28	38	39	27	35	16	8	3	32	20	12	19	34	0	3	19	38	19	40	1	17	14	6	23	5	37	36	16	1	
7	25	27	28	16	1	36	20	29	14	19	26	1	28	34	26	25	39	14	4	17	35	27	17	3	0	1	11	26	29	11	37	16	36	8	26	7	28	18	39	
1	37	28	18	22	9	7	32	35	25	34	26	33	6	4	20	16	36	25	37	18	8	26	3	19	1	0	37	18	19	20	37	13	30	34	24	19	13	5	12	
9	33	18	29	3	16	12	12	21	17	4	18	23	10	31	6	4	27	15	8	16	25	1	10	38	11	37	0	39	11	31	34	10	13	32	0	27	33	36	18	
37	11	37	10	32	31	38	28	22	7	36	14	34	19	34	7	39	36	30	6	20	18	37	4	19	26	18	39	0	38	35	1	30	15	35	14	16	24	18	25	
4	6	1	7	2	39	27	20	3	34	35	28	40	8	18	32	7	35	19	35	19	15	6	25	40	29	19	11	38	0	10	5	0	20	12	22	21	8	9	22	
11	14	39	5	10	38	30	40	37	4	29	22	6	4	39	29	32	18	12	21	26	21	33	20	1	11	20	31	35	10	0	19	29	37	17	30	16	30	23	8	
22	28	20	6	25	1	36	29	19	17	30	9	19	30	8	20	25	5	4	38	11	30	20	38	17	37	37	34	1	5	19	0	16	23	16	0	25	23	15	38	
28	19	6	39	28	38	9	23	3	12	8	36	17	12	32	40	6	4	11	16	31	7	29	5	14	16	13	10	30	0	29	16	0	10	20	8	27	17	31	19	
30	26	23	16	21	11	27	9	7	39	13	30	7	15	36	9	28	16	0	17	27	32	29	27	6	36	30	13	15	20	37	23	10	0	36	6	34	9	29	17	
15	27	35	9	9	31	23	19	16	24	38	11	4	38	36	17	8	2	25	25	13	29	7	12	23	8	34	32	35	12	17	16	20	36	0	15	9	11	5	6	
1	35	38	3	22	5	24	25	14	2	35	15	7	17	20	24	12	1	39	32	8	15	34	4	5	26	24	0	14	22	30	0	8	6	15	0	26	5	38	13	
4	8	28	38	13	16	16	5	27	33	30	12	28	28	38	35	7	32	8	38	0	1	33	20	37	7	19	27	16	21	16	25	27	34	9	26	0	10	25	31	
6	7	5	5	3	5	13	23	18	26	1	36	8	6	30	12	12	38	38	7	8	23	16	18	36	28	13	33	24	8	30	23	17	9	11	5	10	0	38	14	
25	7	30	1	30	9	17	0	18	2	39	12	36	0	23	22	37	22	31	9	26	26	32	20	16	18	5	36	18	9	23	15	31	29	5	38	25	38	0	35	
36	26	3	33	38	33	6	20	34	31	2	35	5	26	6	31	31	9	38	16	30	19	40	30	1	39	12	18	25	22	8	38	19	17	6	13	31	14	35	0	
